Front,Back,Tags
(u^n)',nu^{n-1}u',derivatives chain-rule
nu^{n-1}u',(u^n)',derivatives chain-rule
(\sqrt{u})',\frac{u'}{2\sqrt{u}},derivatives chain-rule
\frac{u'}{2\sqrt{u}},(\sqrt{u})',derivatives chain-rule
(e^u)',e^u u',derivatives chain-rule exponential-log
e^u u',(e^u)',derivatives chain-rule exponential-log
(\ln u)',\frac{u'}{u},derivatives chain-rule exponential-log
\frac{u'}{u},(\ln u)',derivatives chain-rule exponential-log
(\sin u)',\cos(u)u',derivatives chain-rule trig-derivatives
\cos(u)u',(\sin u)',derivatives chain-rule trig-derivatives
(\cos u)',-\sin(u)u',derivatives chain-rule trig-derivatives
-\sin(u)u',(\cos u)',derivatives chain-rule trig-derivatives
(\tan u)',\sec^2(u)u',derivatives chain-rule trig-derivatives
\sec^2(u)u',(\tan u)',derivatives chain-rule trig-derivatives
\left(\frac{1}{u}\right)',-\frac{u'}{u^2},derivatives chain-rule
-\frac{u'}{u^2},\left(\frac{1}{u}\right)',derivatives chain-rule
