Front,Back,Tags
\frac{d}{dx}x^n,nx^{n-1},derivatives elementary-derivatives
nx^{n-1},\frac{d}{dx}x^n,derivatives elementary-derivatives
\frac{d}{dx}\sqrt{x},\frac{1}{2\sqrt{x}},derivatives elementary-derivatives
\frac{1}{2\sqrt{x}},\frac{d}{dx}\sqrt{x},derivatives elementary-derivatives
\frac{d}{dx}\frac{1}{x},-\frac{1}{x^2},derivatives elementary-derivatives
-\frac{1}{x^2},\frac{d}{dx}\frac{1}{x},derivatives elementary-derivatives
\frac{d}{dx}|x|,"\frac{x}{|x|}, x\neq 0",derivatives elementary-derivatives
"\frac{x}{|x|}, x\neq 0",\frac{d}{dx}|x|,derivatives elementary-derivatives
\frac{d}{dx}c,0,derivatives elementary-derivatives
0,\frac{d}{dx}c,derivatives elementary-derivatives
\frac{d}{dx}x,1,derivatives elementary-derivatives
1,\frac{d}{dx}x,derivatives elementary-derivatives
