Front,Back,Tags
\frac{d}{dx}e^x,e^x,derivatives exponential-log
e^x,\frac{d}{dx}e^x,derivatives exponential-log
\frac{d}{dx}e^u,e^u u',derivatives exponential-log chain-rule
e^u u',\frac{d}{dx}e^u,derivatives exponential-log chain-rule
\frac{d}{dx}a^x,a^x\ln a,derivatives exponential-log
a^x\ln a,\frac{d}{dx}a^x,derivatives exponential-log
\frac{d}{dx}a^u,a^u\ln(a)u',derivatives exponential-log chain-rule
a^u\ln(a)u',\frac{d}{dx}a^u,derivatives exponential-log chain-rule
\frac{d}{dx}\ln x,"\frac{1}{x}, x>0",derivatives exponential-log
"\frac{1}{x}, x>0",\frac{d}{dx}\ln x,derivatives exponential-log
\frac{d}{dx}\ln|x|,"\frac{1}{x}, x\neq 0",derivatives exponential-log
"\frac{1}{x}, x\neq 0",\frac{d}{dx}\ln|x|,derivatives exponential-log
\frac{d}{dx}\ln u,\frac{u'}{u},derivatives exponential-log chain-rule
\frac{u'}{u},\frac{d}{dx}\ln u,derivatives exponential-log chain-rule
\frac{d}{dx}\log_a x,\frac{1}{x\ln a},derivatives exponential-log
\frac{1}{x\ln a},\frac{d}{dx}\log_a x,derivatives exponential-log
\frac{d}{dx}\log_a u,\frac{u'}{u\ln a},derivatives exponential-log chain-rule
\frac{u'}{u\ln a},\frac{d}{dx}\log_a u,derivatives exponential-log chain-rule
