Front,Back,Tags
\frac{d}{dx}\sin x,\cos x,derivatives trig-derivatives
\cos x,\frac{d}{dx}\sin x,derivatives trig-derivatives
\frac{d}{dx}\cos x,-\sin x,derivatives trig-derivatives
-\sin x,\frac{d}{dx}\cos x,derivatives trig-derivatives
\frac{d}{dx}\tan x,\sec^2 x,derivatives trig-derivatives
\sec^2 x,\frac{d}{dx}\tan x,derivatives trig-derivatives
\frac{d}{dx}\cot x,-\csc^2 x,derivatives trig-derivatives
-\csc^2 x,\frac{d}{dx}\cot x,derivatives trig-derivatives
\frac{d}{dx}\sec x,\sec x\tan x,derivatives trig-derivatives
\sec x\tan x,\frac{d}{dx}\sec x,derivatives trig-derivatives
\frac{d}{dx}\csc x,-\csc x\cot x,derivatives trig-derivatives
-\csc x\cot x,\frac{d}{dx}\csc x,derivatives trig-derivatives
\frac{d}{dx}\sin u,\cos(u)u',derivatives trig-derivatives chain-rule
\cos(u)u',\frac{d}{dx}\sin u,derivatives trig-derivatives chain-rule
\frac{d}{dx}\cos u,-\sin(u)u',derivatives trig-derivatives chain-rule
-\sin(u)u',\frac{d}{dx}\cos u,derivatives trig-derivatives chain-rule
\frac{d}{dx}\tan u,\sec^2(u)u',derivatives trig-derivatives chain-rule
\sec^2(u)u',\frac{d}{dx}\tan u,derivatives trig-derivatives chain-rule
\frac{d}{dx}\cot u,-\csc^2(u)u',derivatives trig-derivatives chain-rule
-\csc^2(u)u',\frac{d}{dx}\cot u,derivatives trig-derivatives chain-rule
\frac{d}{dx}\sec u,\sec(u)\tan(u)u',derivatives trig-derivatives chain-rule
\sec(u)\tan(u)u',\frac{d}{dx}\sec u,derivatives trig-derivatives chain-rule
\frac{d}{dx}\csc u,-\csc(u)\cot(u)u',derivatives trig-derivatives chain-rule
-\csc(u)\cot(u)u',\frac{d}{dx}\csc u,derivatives trig-derivatives chain-rule
