Front,Back,Tags
y'=xy,separable ODE,ode-identification rule-identification
\frac{dy}{dx}=x(1+y^2),separable ODE,ode-identification rule-identification
y'=e^x y^2,separable ODE,ode-identification rule-identification
\frac{dy}{dx}=\frac{x}{y},separable ODE,ode-identification rule-identification
y'=\sin x\cos y,separable ODE,ode-identification rule-identification
y'+p(x)y=q(x),first-order linear ODE,ode-identification rule-identification
y'+2y=e^x,first-order linear ODE,ode-identification rule-identification
xy'+y=x^2,first-order linear ODE,ode-identification rule-identification
y'-\frac{2}{x}y=x^3,first-order linear ODE,ode-identification rule-identification
y'+(\tan x)y=\sin x,first-order linear ODE,ode-identification rule-identification
"M(x,y)+N(x,y)y'=0",exact equation candidate,ode-identification rule-identification
(2xy+1)+(x^2+2y)y'=0,exact equation,ode-identification rule-identification
(y+\cos x)+(x+2y)y'=0,exact equation candidate,ode-identification rule-identification
(3x^2y+2)+(x^3+\sin y)y'=0,exact equation candidate,ode-identification rule-identification
(2x+y)+(x+2y)y'=0,exact equation,ode-identification rule-identification
y'=F(y/x),homogeneous first-order substitution,ode-identification rule-identification
y'=\frac{x+y}{x-y},homogeneous first-order substitution,ode-identification rule-identification
y'=\left(\frac{y}{x}\right)^2+\frac{y}{x},homogeneous first-order substitution,ode-identification rule-identification
xy'=y+x\phi(y/x),homogeneous first-order substitution,ode-identification rule-identification
y'=\frac{x^2+y^2}{xy},homogeneous first-order substitution,ode-identification rule-identification
y'+y=y^2,Bernoulli equation,ode-identification rule-identification
y'+p(x)y=q(x)y^n,Bernoulli equation,ode-identification rule-identification
y'-\frac{1}{x}y=x^2y^3,Bernoulli equation,ode-identification rule-identification
y'+2y=e^x y^{-1},Bernoulli equation,ode-identification rule-identification
xy'+y=xy^4,Bernoulli equation,ode-identification rule-identification
y'=ry(1-y/K),logistic equation,ode-identification rule-identification
P'=rP(1-P/K),logistic equation,ode-identification rule-identification
y'=3y-2y^2,logistic equation,ode-identification rule-identification
N'=kN(M-N),logistic-type equation,ode-identification rule-identification
y'=ay-by^2,logistic equation,ode-identification rule-identification
y'=f(y),autonomous equation,ode-identification rule-identification
y'=y^2-4,autonomous equation plus equilibrium recognition,ode-identification rule-identification
y'=\sin y,autonomous equation plus equilibrium recognition,ode-identification rule-identification
y'=y(1-y)(2-y),autonomous equation plus stability recognition,ode-identification rule-identification
y'=e^{-y}-1,autonomous equation plus equilibrium recognition,ode-identification rule-identification
y''-3y'+2y=0,constant-coefficient linear homogeneous ODE,ode-identification rule-identification
y''+4y=0,constant-coefficient linear homogeneous ODE,ode-identification rule-identification
y'''-y''+y'-y=0,constant-coefficient linear homogeneous ODE,ode-identification rule-identification
2y''+5y'+3y=0,characteristic equation,ode-identification rule-identification
y^{(4)}-16y=0,characteristic equation,ode-identification rule-identification
y''+y=\sin x,constant-coefficient linear nonhomogeneous ODE,ode-identification rule-identification
y''-3y'+2y=e^x,undetermined coefficients candidate,ode-identification rule-identification
y''+4y=x^2,undetermined coefficients candidate,ode-identification rule-identification
y''+2y'+y=e^{-x},undetermined coefficients with resonance check,ode-identification rule-identification
y''+y=\tan x,variation of parameters candidate,ode-identification rule-identification
y''+p(x)y'+q(x)y=g(x),variation of parameters candidate,ode-identification rule-identification
y''+y=\sec x,variation of parameters candidate,ode-identification rule-identification
x^2y''+axy'+by=0,Cauchy-Euler equation,ode-identification rule-identification
x^2y''+3xy'+2y=0,Cauchy-Euler equation,ode-identification rule-identification
x^2y''-xy'+y=x^2,Cauchy-Euler nonhomogeneous equation,ode-identification rule-identification
\mathbf{x}'=A\mathbf{x},system of first-order linear ODEs,ode-identification rule-identification
\mathbf{x}'=A\mathbf{x}+\mathbf{b}(t),nonhomogeneous linear system,ode-identification rule-identification
"x'=3x+4y,\quad y'=x-2y",linear system with matrix method,ode-identification rule-identification
\mathbf{x}'=A(t)\mathbf{x},linear system with variable coefficients,ode-identification rule-identification
"\mathbf{x}'=A\mathbf{x},\quad \det(A-\lambda I)=0",eigenvalue method for linear systems,ode-identification rule-identification
y'=y-y^3,equilibrium/stability recognition,ode-identification rule-identification
"y'=r y,\quad r<0",equilibrium/stability recognition,ode-identification rule-identification
"y'=f(y),\quad f(a)=0",equilibrium recognition,ode-identification rule-identification
y''+y=\delta(t-a),Laplace transform candidate,ode-identification rule-identification
y''+3y'+2y=u(t-a),Laplace transform candidate,ode-identification rule-identification
"y'+ay=g(t),\quad y(0)=y_0",Laplace transform candidate,ode-identification rule-identification
y''+4y=\mathcal{L}^{-1}\{F(s)\},Laplace transform candidate,ode-identification rule-identification
y'+p(x)y=q(x),integrating factor recognition,ode-identification rule-identification
"M(x,y)+N(x,y)y'=0,\quad M_y\neq N_x",integrating factor recognition,ode-identification rule-identification
y'+\frac{1}{x}y=x,integrating factor recognition,ode-identification rule-identification
xy'+2y=\sin x,integrating factor recognition,ode-identification rule-identification
(y^2+xy)dx+x^2dy=0,integrating factor or exact-equation check,ode-identification rule-identification
